ID,ID_DEPARTAMENTO,ACUMULADO_VENTAS,ID_OPERACION,ACUMULADO_GANANCIAS
670,6,246.0,99,98.55
489,14,40.0,74,20.0
586,9,726.0,87,154.7712
132,9,346.0,28,61.6
555,9,294.0,82,61.6836
76,10,57.0,20,17.81
556,1,1.0,82,1.0
587,8,296.0,87,76.84
133,11,32.0,28,26.0
398,8,20.0,62,5.0
134,12,15.0,28,6.84
77,12,7.0,20,3.86
399,10,152.0,63,35.65
192,8,20.0,35,5.0
193,7,934.0,36,227.736
194,6,101.0,36,58.25
195,12,141.0,36,34.21
400,11,49.0,63,10.54
401,12,64.0,63,23.91
402,6,214.0,63,115.2
78,6,171.0,21,55.95
403,9,263.0,63,45.26
196,9,377.0,36,66.35
197,11,110.0,36,33.5
198,5,81.0,36,21.0
490,1,3.0,74,3.0
199,10,86.0,36,24.0
404,7,940.0,63,142.2
557,6,253.0,83,81.3
135,6,314.0,29,158.65
136,10,132.0,29,33.84
137,11,34.0,29,8.22
491,6,366.0,75,180.85
138,5,25.0,29,9.0
492,12,20.0,75,6.32
139,7,1063.0,29,203.228
140,9,320.0,29,50.0
200,8,38.0,36,10.76
493,7,979.0,75,159.87
494,10,36.0,75,10.31
201,7,1768.0,37,310.738
202,12,78.0,37,19.98
203,6,639.0,37,232.3
204,11,62.0,37,16.33
141,8,20.0,29,5.0
142,12,10.0,29,2.2
205,5,162.0,37,42.0
206,1,38.0,37,11.0
207,9,173.0,37,31.76
208,10,101.0,37,28.25
405,6,327.0,64,166.75
406,10,63.0,64,13.02
407,11,135.0,64,32.65
143,10,168.0,30,44.5
144,5,85.0,30,21.0
145,9,331.0,30,58.84
146,12,59.0,30,25.27
147,7,2148.0,30,317.308
148,6,575.0,30,241.65
408,12,24.0,64,9.41
209,8,528.0,37,102.08
409,9,370.0,64,61.51
410,7,1133.0,64,187.288
149,8,573.0,30,122.76
150,11,177.0,30,45.09
151,14,20.0,30,5.5
210,6,317.0,38,148.95
152,10,97.0,31,30.37
153,7,2550.0,31,244.37
154,11,180.0,31,50.95
155,6,404.0,31,187.45
156,8,85.0,31,11.02
157,9,301.0,31,52.85
158,5,52.0,31,16.0
159,14,20.0,31,5.5
160,12,14.0,31,6.58
161,1,1.0,31,1.0
211,12,34.0,38,14.38
162,9,83.0,32,12.5
163,11,157.0,32,41.19
164,7,498.0,32,93.638
165,6,282.0,32,115.65
166,10,97.0,32,30.37
212,10,129.0,38,37.66
213,14,20.0,38,5.5
411,8,55.0,64,15.0
214,9,384.0,38,69.27
167,12,49.0,32,23.36
215,1,39.0,38,25.5
495,5,168.0,75,37.02
412,6,740.0,65,290.0
413,10,79.0,65,21.34
496,11,62.0,75,17.23
497,9,288.0,75,58.9466
216,7,2008.0,38,217.608
558,10,124.0,83,31.04
414,7,2576.0,65,324.206
588,10,145.0,87,34.61
168,8,125.0,32,35.0
589,11,172.0,87,42.59
559,12,10.0,83,2.3
217,8,138.0,38,29.04
590,7,2468.0,87,320.88
671,10,150.0,99,39.15
218,5,22.0,38,8.0769
498,6,323.0,76,106.7
415,8,43.0,65,9.84
499,14,20.0,76,5.5
500,11,17.0,76,4.11
416,11,139.0,65,32.95
560,7,460.0,83,52.78
169,1,1.0,32,1.0
417,9,1659.0,65,267.62
677,5,22.0,99,8.0769
561,9,152.0,83,32.0
501,12,5.0,76,1.15
672,11,146.0,99,43.48
502,7,56.0,76,19.808
678,8,19.0,99,6.0
219,11,80.0,38,19.0
503,9,380.0,76,75.5
170,6,246.0,33,129.15
171,7,620.0,33,108.06
172,12,76.0,33,34.59
673,7,2720.0,99,358.34
504,8,460.0,76,80.32
674,9,425.0,99,69.1712
679,7,4285.0,100,535.29
173,11,16.0,33,13.0
562,6,481.0,84,224.65
220,7,980.0,39,139.27
221,6,219.0,39,81.75
563,12,20.0,84,9.18
174,9,128.0,33,21.17
680,6,336.0,100,103.55
175,10,120.0,33,29.86
681,9,771.0,100,143.6303
675,12,26.0,99,7.58
564,8,76.0,84,15.02
565,10,83.0,84,19.93
566,11,80.0,84,25.17
505,10,21.0,76,4.34
222,10,68.0,39,15.57
506,7,1000.0,77,153.44
507,11,61.0,77,18.77
508,6,286.0,77,85.9
223,1,21.0,39,21.0
509,10,181.0,77,45.06
510,12,37.0,77,10.92
224,11,55.0,39,23.94
225,12,13.0,39,7.09
682,1,67.0,100,67.0
676,1,3.0,99,3.0
685,12,34.0,100,10.1
418,12,25.0,65,5.63
226,9,121.0,39,18.25
567,9,633.0,84,143.0925
511,9,90.0,77,23.0266
686,11,84.0,100,24.81
176,8,20.0,33,5.0
688,6,255.0,101,129.05
419,5,84.0,65,18.51
177,1,2.0,33,2.0
512,1,28.0,77,28.0
568,7,1709.0,84,219.25
591,1,10.0,87,10.0
227,8,20.0,39,5.0
178,10,45.0,34,12.81
179,6,325.0,34,118.95
180,7,1176.0,34,168.878
683,10,221.0,100,46.75
684,8,188.0,100,48.68
228,7,845.0,40,123.198
181,9,398.0,34,73.19
182,11,52.0,34,12.54
229,10,302.0,40,79.02
230,6,413.0,40,140.65
231,1,43.0,40,16.0
232,12,42.0,40,14.65
183,12,15.0,34,6.7
513,5,27.0,77,7.0
233,11,44.0,40,12.7
234,9,339.0,40,58.68
592,6,420.0,88,168.75
593,10,127.0,88,35.49
594,5,22.0,88,8.0769
184,8,20.0,34,5.0
420,8,92.0,66,25.0
595,12,36.0,88,12.65
421,11,79.0,66,20.44
422,7,2135.0,66,317.93
423,10,160.0,66,30.7
514,6,395.0,78,134.75
515,7,4869.0,78,1403.514
424,6,383.0,66,118.5
516,10,134.0,78,30.98
596,7,935.0,88,123.25
517,9,785.0,78,152.986
425,9,436.0,66,77.02
518,8,742.0,78,150.22
519,11,1943.0,78,668.0
520,1,10.0,78,10.0
597,1,50.0,88,50.0
426,12,29.0,66,9.2
598,11,85.0,88,23.88
235,14,20.0,40,5.5
569,10,229.0,85,52.64
427,14,10.0,66,5.0
570,6,435.0,85,175.25
571,11,77.0,85,19.32
572,9,1001.0,85,233.4238
236,10,71.0,41,17.53
237,7,350.0,41,69.81
238,6,299.0,41,144.9
573,7,1010.0,85,155.42
521,5,22.0,78,8.0769
239,9,256.0,41,44.26
240,12,9.0,41,4.3
241,1,3.0,41,3.0
428,5,112.0,66,24.68
522,12,5.0,78,1.15
429,1,5.0,66,5.0
430,5,22.0,67,8.0769
431,9,263.0,67,49.1
432,1,20.0,67,20.0
433,7,1308.0,67,187.276
242,11,17.0,41,4.11
434,14,20.0,67,10.0
435,11,86.0,67,23.76
523,7,2518.0,79,363.838
524,10,97.0,79,21.61
436,12,51.0,67,15.39
525,6,374.0,79,152.65
243,9,913.0,42,152.86
244,11,62.0,42,16.33
245,12,47.0,42,12.18
437,6,244.0,67,76.7
246,7,1225.0,42,175.83
247,6,273.0,42,108.5
438,10,157.0,67,40.82
526,9,159.0,79,33.42
527,12,78.0,79,20.06
248,10,87.0,42,21.49
249,5,27.0,42,7.0
528,11,209.0,79,47.74
529,1,4.0,79,4.0
439,8,278.0,68,37.9
440,6,610.0,68,184.8
250,1,1.0,42,1.0
441,11,61.0,68,16.98
442,7,525.0,68,108.53
443,10,192.0,68,61.15
444,12,28.0,68,10.76
251,10,171.0,43,37.87
252,6,175.0,43,89.75
253,11,165.0,43,45.21
254,9,577.0,43,89.17
530,8,270.0,79,75.0
531,5,28.0,79,6.17
255,7,743.0,43,100.74
445,9,159.0,68,33.42
256,12,27.0,43,6.62
446,5,28.0,69,6.17
257,7,2080.0,44,287.39
447,10,160.0,69,38.08
258,6,308.0,44,119.75
259,10,264.0,44,70.71
448,6,220.0,69,99.3
260,12,28.0,44,8.77
449,7,450.0,69,55.97
450,12,6.0,69,3.68
261,9,1470.0,44,251.56
451,9,114.0,69,21.75
262,8,96.0,44,30.2
452,6,260.0,70,131.2
263,5,22.0,44,8.0769
453,10,119.0,70,34.34
264,11,84.0,44,21.4
454,12,6.0,70,3.68
455,7,460.0,70,69.32
456,8,20.0,70,5.0
457,9,38.0,70,5.75
265,7,3332.0,45,503.166
266,12,24.0,45,7.9
267,6,297.0,45,140.05
268,10,110.0,45,23.36
269,9,697.0,45,120.03
270,1,10.0,45,10.0
271,14,20.0,45,5.5
272,11,70.0,45,20.79
273,5,84.0,45,18.51
274,6,425.0,46,143.4
275,7,880.0,46,107.21
276,10,200.0,46,62.26
277,12,30.0,46,7.32
278,9,678.0,46,121.2
279,5,112.0,46,24.68
280,11,32.0,46,6.6
281,12,33.0,47,9.7
282,10,95.0,47,27.78
283,6,211.0,47,108.75
458,1,10.0,70,10.0
459,11,18.0,71,4.32
460,7,1058.0,71,122.288
461,6,415.0,71,172.7
284,7,880.0,47,97.12
285,5,54.0,47,14.0
462,10,123.0,71,34.4
463,1,3.0,71,3.0
687,5,81.0,100,21.0
689,12,60.0,101,18.38
690,9,294.0,101,64.9268
691,10,73.0,101,21.15
464,14,10.0,71,5.0
465,9,882.0,71,198.5424
692,8,345.0,101,87.32
599,9,256.0,88,60.4312
693,7,1992.0,101,324.69
695,1,2.0,101,2.0
286,8,20.0,47,5.0
696,6,388.0,102,164.65
287,9,301.0,47,49.09
600,10,129.0,89,32.33
601,6,249.0,89,111.55
694,11,39.0,101,10.94
466,12,6.0,71,3.07
288,11,44.0,47,13.83
723,9,356.0,106,73.3675
602,9,294.0,89,66.1812
603,11,76.0,89,19.99
574,1,30.0,85,30.0
697,7,810.0,102,144.46
575,12,17.0,85,3.72
576,6,888.0,86,297.7
577,7,3250.0,86,463.51
604,7,722.0,89,122.7
289,10,89.0,48,20.6
290,9,655.0,48,114.03
291,11,57.0,48,14.61
722,8,22.0,105,3.84
292,7,985.0,48,177.84
724,7,870.0,106,127.77
578,10,259.0,86,66.85
579,12,53.0,86,17.43
605,14,10.0,89,5.0
580,11,250.0,86,60.84
606,12,35.0,89,13.41
293,6,106.0,48,55.85
698,14,20.0,102,5.5
699,11,105.0,102,31.6
294,12,10.0,48,2.9
532,6,829.0,80,355.15
725,11,62.0,106,16.85
533,7,2860.0,80,400.59
534,9,422.0,80,92.1912
726,6,49.0,106,24.15
535,12,26.0,80,7.58
727,10,123.0,106,33.02
467,9,1014.0,72,201.94
468,10,259.0,72,72.17
731,6,329.0,107,76.9
469,6,444.0,72,217.15
729,1,62.0,106,62.0
470,7,1810.0,72,247.83
536,1,12.0,80,12.0
581,1,12.0,86,12.0
700,10,57.0,102,13.68
728,12,15.0,106,4.31
582,8,127.0,86,21.86
537,10,91.0,80,21.84
538,14,10.0,80,5.0
539,8,255.0,80,58.3
730,5,0.0,106,0.0
732,11,216.0,107,58.47
733,10,150.0,107,41.12
295,6,219.0,49,110.3
471,11,34.0,72,7.43
472,1,254.0,72,254.0
296,7,435.0,49,64.55
297,9,377.0,49,66.27
734,1,30.0,107,30.0
737,9,242.0,107,51.5672
540,11,136.0,80,32.68
735,7,2100.0,107,285.31
473,8,188.0,72,49.84
298,1,3.0,49,3.0
740,11,85.0,108,25.81
701,9,90.0,102,23.34
299,12,8.0,49,3.04
736,8,170.0,107,22.04
741,12,40.0,108,13.45
742,10,127.0,108,35.49
743,9,581.0,108,129.8311
583,9,494.0,86,83.75
738,12,3.0,107,0.76
702,6,161.0,103,82.65
703,11,77.0,103,20.99
607,6,347.0,90,139.6
608,10,248.0,90,56.69
541,5,189.0,80,49.0
704,7,540.0,103,74.15
300,6,236.0,50,60.0
301,10,115.0,50,29.74
302,9,174.0,50,32.26
303,7,530.0,50,71.47
609,7,405.0,90,80.89
705,10,90.0,103,19.53
304,11,16.0,50,4.11
305,1,2.0,50,2.0
706,12,10.0,103,3.16
610,12,13.0,90,4.38
707,9,349.0,103,66.67
611,9,235.0,90,46.8567
612,1,10.0,90,10.0
306,10,327.0,51,96.92
307,14,20.0,51,5.5
308,11,188.0,51,47.09
309,12,28.0,51,8.41
310,1,3.0,51,3.0
311,7,2330.0,51,297.99
613,11,38.0,90,10.13
474,5,84.0,72,18.51
312,9,1044.0,51,166.94
313,6,449.0,51,202.5
314,8,170.0,51,22.04
475,12,5.0,72,1.15
614,8,20.0,90,5.0
476,8,22.0,73,6.0
477,6,246.0,73,88.95
478,9,996.0,73,212.7
479,7,1696.0,73,297.226
480,12,19.0,73,5.9
708,6,128.0,104,68.4
542,10,304.0,81,69.24
543,8,100.0,81,13.69
544,11,154.0,81,41.78
545,6,444.0,81,182.05
546,7,865.0,81,170.09
709,5,62.0,104,21.4169
710,7,167.0,104,25.05
711,10,116.0,104,29.93
615,7,800.0,91,102.73
547,12,59.0,81,14.55
616,6,177.0,91,87.15
617,12,3.0,91,0.76
548,9,180.0,81,46.3667
618,10,88.0,91,26.15
712,9,166.0,104,39.0267
713,12,10.0,104,5.0
619,9,76.0,91,13.75
714,10,316.0,105,82.47
620,6,348.0,92,123.05
621,9,152.0,92,23.0
622,7,1480.0,92,204.97
315,5,54.0,51,14.0
623,12,10.0,92,2.9
624,10,143.0,92,32.8
316,6,102.0,52,50.95
317,7,1731.0,52,209.076
318,9,446.0,52,74.93
549,1,150.0,81,150.0
625,11,22.0,92,7.0
626,5,30.0,92,6.0
319,11,57.0,52,16.45
320,12,10.0,52,2.9
550,12,17.0,82,7.1
551,6,611.0,82,210.2
552,10,96.0,82,19.34
627,8,57.0,92,18.0
628,14,10.0,92,5.0
321,10,84.0,52,17.36
322,14,40.0,52,11.0
629,6,95.0,93,48.65
630,7,2830.0,93,363.7
323,6,334.0,53,108.55
324,7,1125.0,53,178.53
325,12,30.0,53,6.81
326,10,55.0,53,18.75
631,9,636.0,93,115.6824
632,11,123.0,93,36.23
633,12,5.0,93,1.15
327,11,32.0,53,8.22
634,10,148.0,93,33.27
328,9,363.0,53,60.51
329,8,20.0,53,5.0
330,6,191.0,54,63.35
331,9,999.0,54,160.35
332,12,39.0,54,9.37
333,7,615.0,54,95.62
334,10,128.0,54,31.83
335,1,20.0,54,20.0
336,11,15.0,54,3.11
337,12,5.0,55,1.15
338,11,34.0,55,7.43
339,6,119.0,55,58.65
340,10,90.0,55,24.62
341,9,83.0,55,12.5
342,7,58.0,55,14.808
343,7,535.0,56,78.32
344,6,313.0,56,159.6
345,12,4.0,56,2.1
346,10,21.0,56,4.34
347,11,15.0,56,3.11
348,8,230.0,56,40.16
349,9,266.0,56,40.25
350,5,50.0,56,14.2469
351,10,42.0,57,8.68
352,6,210.0,57,82.1
353,7,1425.0,57,199.45
354,9,477.0,57,77.76
355,11,55.0,57,14.26
356,12,38.0,57,13.98
357,12,28.0,58,7.11
358,10,163.0,58,38.48
359,6,524.0,58,224.6
360,9,1245.0,58,206.29
361,7,1890.0,58,286.84
362,8,571.0,58,96.22
363,11,52.0,58,11.75
364,5,78.0,58,20.4169
635,5,162.0,93,42.0
636,1,5.0,93,5.0
637,6,351.0,94,105.05
638,7,1721.0,94,293.3
715,9,370.0,105,79.6167
716,6,611.0,105,160.5
639,9,857.0,94,166.4491
365,1,1.0,58,1.0
640,1,1.0,94,1.0
717,7,580.0,105,86.57
641,10,170.0,94,30.68
739,14,40.0,107,20.0
744,7,1840.0,108,271.45
745,6,89.0,108,44.15
366,12,33.0,59,10.41
367,8,374.0,59,84.24
368,9,349.0,59,54.67
369,7,2098.0,59,319.348
746,1,20.0,108,20.0
747,7,650.0,109,68.76
370,6,191.0,59,94.85
748,1,100.0,109,100.0
749,6,264.0,109,72.8
755,6,431.0,110,158.75
642,11,121.0,94,30.1
371,10,87.0,59,21.49
718,14,30.0,105,15.0
719,11,51.0,105,10.75
720,12,53.0,105,17.38
372,1,3.0,59,3.0
721,1,26.0,105,26.0
750,11,85.0,109,27.05
751,10,167.0,109,47.3
756,10,166.0,110,36.36
752,9,197.0,109,41.7836
757,7,3060.0,110,362.91
373,11,40.0,59,9.5
758,1,54.0,110,54.0
753,8,85.0,109,11.02
754,12,3.0,109,0.76
759,9,726.0,110,156.4532
762,5,1144.0,110,144.1538
760,11,76.0,110,20.78
643,5,353.0,94,79.0
772,9,159.0,112,31.5823
374,5,106.0,59,26.5869
769,6,185.0,112,96.3
761,8,19.0,110,6.0
770,7,713.0,112,88.02
763,10,19.0,111,3.63
764,7,1030.0,111,129.16
644,14,20.0,94,5.5
765,12,10.0,111,2.9
766,6,63.0,111,31.05
778,9,173.0,113,34.5301
785,8,460.0,114,80.32
767,11,55.0,111,12.61
773,6,179.0,113,63.5
375,6,146.0,60,73.6
771,12,28.0,112,13.12
376,10,217.0,60,53.12
768,1,2.0,111,2.0
774,7,940.0,113,127.16
377,1,5.0,60,5.0
378,7,210.0,60,39.12
779,1,0.0,113,0.0
775,12,36.0,113,14.56
776,10,18.0,113,4.0
777,11,99.0,113,24.82
786,9,394.0,114,75.3843
787,9,394.0,115,73.4488
645,10,226.0,95,57.85
379,11,57.0,60,14.37
788,1,10.0,115,10.0
380,12,16.0,60,8.16
646,11,77.0,95,21.15
381,9,325.0,60,54.76
780,12,48.0,114,21.16
647,12,26.0,95,6.88
648,6,244.0,95,103.3
781,5,22.0,114,8.0769
782,6,559.0,114,153.7
789,6,116.0,115,58.6
783,7,1355.0,114,199.31
790,7,1258.0,115,207.77
784,10,67.0,114,20.28
791,8,396.0,115,78.66
849,9,242.0,123,47.2468
850,12,10.0,123,2.3
793,7,380.0,116,44.06
382,8,20.0,60,5.0
649,9,76.0,95,11.5
650,7,20.0,95,6.38
794,11,17.0,116,4.11
383,5,168.0,61,38.4169
384,7,845.0,61,150.55
385,11,135.0,61,36.2
386,6,340.0,61,138.25
387,9,211.0,61,37.51
795,8,125.0,116,35.0
796,6,12.0,116,6.45
388,12,30.0,61,7.76
651,6,180.0,96,53.45
652,10,63.0,96,13.02
817,10,42.0,119,8.68
653,7,220.0,96,41.33
654,12,5.0,96,1.15
847,8,192.0,123,25.88
389,10,37.0,61,8.34
792,14,10.0,115,5.0
390,1,1.0,61,1.0
797,9,242.0,116,50.3183
818,5,108.0,119,28.0
798,14,10.0,116,5.0
655,9,304.0,96,57.25
848,6,262.0,123,64.6
858,12,27.0,124,5.92
819,9,425.0,119,84.3502
799,12,20.0,116,5.2
800,6,594.0,117,167.9621
656,6,192.0,97,76.45
859,1,30.0,124,30.0
657,10,42.0,97,8.68
801,11,290.0,117,71.43
658,7,820.0,97,88.72
802,1,40.0,117,40.0
659,5,22.0,97,8.0769
851,11,22.0,123,6.83
803,7,7875.0,117,971.52
660,12,27.0,97,8.92
860,6,472.0,125,156.35
661,9,135.0,97,34.3834
820,12,34.0,119,11.28
391,8,40.0,61,10.0
804,9,840.0,117,168.3283
821,7,300.0,119,45.93
861,10,88.0,125,20.3122
852,1,10.0,123,10.0
862,7,535.0,125,93.81
853,6,379.0,124,153.85
863,9,432.0,125,89.4404
866,11,22.0,125,6.83
868,6,236.0,126,114.3
869,10,25.0,126,6.81
662,14,20.0,97,5.5
854,9,737.0,124,154.7013
855,7,1790.0,124,365.21
663,6,146.0,98,62.6
856,8,356.0,124,54.39
867,14,20.0,125,5.5
664,10,42.0,98,8.68
870,8,302.0,126,48.26
665,7,1275.0,98,136.94
822,6,303.0,120,108.75
666,9,643.0,98,128.3512
864,8,85.0,125,11.02
857,10,53.0,124,12.1852
667,5,422.0,98,124.5769
823,10,76.0,120,20.12
824,12,21.0,120,7.23
871,7,1035.0,126,135.7
872,11,58.0,126,16.26
874,12,15.0,126,3.45
805,12,17.0,117,5.16
825,7,920.0,120,97.79
873,9,311.0,126,55.5355
875,6,378.0,127,141.5121
806,10,180.0,117,39.32
865,12,27.0,125,5.92
876,12,6.0,127,1.52
877,8,22.0,127,3.84
878,7,645.0,127,135.5
879,10,68.0,127,17.4686
880,1,50.0,127,50.0
882,6,401.0,128,119.25
807,5,1069.0,117,202.7
883,12,4.0,128,2.02
826,9,349.0,120,67.366
827,1,300.0,120,300.0
884,7,3625.0,128,491.52
885,10,83.0,128,21.4119
886,5,103.0,128,29.0769
887,9,654.0,128,158.503
888,8,504.0,128,88.0
881,9,76.0,127,13.6458
890,7,1970.0,129,272.83
892,5,22.0,129,8.0769
891,6,713.0,129,213.6121
893,9,387.0,129,71.4195
894,12,30.0,129,9.73
808,8,472.0,117,94.36
889,1,16.0,128,16.0
906,7,1245.0,131,141.08
828,10,138.0,121,32.18
829,12,10.0,121,3.52
895,10,479.0,129,115.0031
830,6,591.0,121,205.0
896,11,73.0,129,18.46
831,9,709.0,121,143.902
897,14,40.0,129,11.0
898,10,115.0,130,24.9908
899,9,332.0,130,73.6629
832,7,2080.0,121,284.55
900,7,1500.0,130,250.19
905,1,5.0,130,5.0
901,11,80.0,130,24.09
902,6,200.0,130,69.5621
833,1,12.0,121,12.0
903,14,20.0,130,5.5
834,11,60.0,121,16.96
809,6,97.0,118,51.8121
810,9,318.0,118,62.0286
811,12,10.0,118,2.3
812,11,73.0,118,16.32
813,7,565.0,118,80.35
814,10,21.0,118,4.34
815,6,339.0,119,85.45
816,1,95.0,119,95.0
835,5,100.0,121,20.0
836,8,538.0,121,107.02
837,6,215.0,122,73.25
838,5,207.0,122,47.0769
839,10,80.0,122,15.81
840,9,539.0,122,100.9241
841,7,2155.0,122,329.88
842,11,108.0,122,25.54
843,12,36.0,122,14.62
844,1,11.0,122,11.0
845,10,67.0,123,15.49
846,7,490.0,123,67.99
904,12,15.0,130,6.4
907,6,461.0,131,158.1121
908,1,16.0,131,16.0
911,5,151.0,131,43.0669
909,12,46.0,131,12.75
910,10,17.0,131,4.9832
912,9,211.0,131,47.2335
913,11,40.0,131,9.5
914,6,137.0,132,42.3
920,11,22.0,132,6.83
915,7,830.0,132,104.16
916,12,35.0,132,13.08
921,6,212.0,133,81.9
923,7,1005.0,133,139.81
922,1,14.0,133,14.0
924,12,19.0,133,7.46
925,10,59.0,133,15.9572
928,7,690.0,134,134.1454
929,6,218.0,134,88.0
934,8,132.0,134,26.22
930,9,273.0,134,52.5881
926,8,170.0,133,22.04
917,9,356.0,132,66.0551
927,9,505.0,133,116.0526
935,6,281.0,135,126.15
936,10,121.0,135,36.1671
918,10,83.0,132,20.0936
931,11,22.0,134,6.73
937,9,529.0,135,107.6579
919,1,5.0,132,5.0
944,14,40.0,135,11.0
943,1,26.0,135,26.0
945,7,1960.0,136,303.68
946,6,590.0,136,143.0
947,5,377.0,136,82.0669
938,8,636.0,135,130.72
932,12,28.0,134,8.53
939,7,1835.0,135,251.19
948,9,650.0,136,132.7939
949,12,32.0,136,10.34
950,11,63.0,136,18.88
940,11,69.0,135,18.16
951,10,89.0,136,21.0946
958,5,62.0,137,21.4169
959,1,1.0,137,1.0
933,10,18.0,134,3.92
941,12,21.0,135,8.36
960,12,16.0,138,3.82
961,7,955.0,138,131.0
952,6,297.0,137,142.6
962,10,64.0,138,16.6432
953,7,470.0,137,71.18
963,6,192.0,138,67.65
954,10,77.0,137,16.2976
955,11,40.0,137,10.0
956,12,15.0,137,3.36
964,5,22.0,138,8.0769
965,1,20.0,138,20.0
942,5,756.0,135,108.0
966,9,394.0,138,79.9388
957,9,237.0,137,46.4996
968,10,37.0,139,11.81
969,7,635.0,139,93.2266
967,11,66.0,138,20.49
970,6,219.0,139,86.1
971,14,20.0,139,5.5
972,11,106.0,139,31.54
975,1,1.0,139,1.0
973,9,159.0,139,31.7808
974,12,4.0,139,2.02
976,6,311.0,140,126.7
977,12,26.0,140,10.06
978,7,620.0,140,96.6532
979,14,10.0,140,5.0
